,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,latitude,longitude
214,30260,S,Montrose (Forest Pk-bound),Montrose,Montrose (Blue Line),41330,False,False,True,False,False,False,False,False,False,False,"(41.961539, -87.743574)",20.0,21869,16.0,362.0,38.0,41.961539,-87.743574
215,30259,N,Montrose (O'Hare-bound),Montrose,Montrose (Blue Line),41330,False,False,True,False,False,False,False,False,False,False,"(41.961539, -87.743574)",20.0,21869,16.0,362.0,38.0,41.961539,-87.743574
216,30287,N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",13.0,22616,6.0,225.0,18.0,41.961756,-87.675047
217,30288,S,Montrose (Loop-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",13.0,22616,6.0,225.0,18.0,41.961756,-87.675047
218,30296,W,Morgan (Harlem-54th/Cermak-bound),Morgan,Morgan (Green & Pink Lines),41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.0,14917,29.0,63.0,46.0,41.885586,-87.652193
219,30295,E,Morgan (Loop-63rd-bound),Morgan,Morgan (Green & Pink Lines),41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.0,14917,29.0,63.0,46.0,41.885586,-87.652193
220,30021,S,Morse (95th-bound),Morse,Morse (Red Line),40100,False,True,False,False,False,False,False,False,False,False,"(42.008362, -87.665909)",3.0,21853,10.0,358.0,5.0,42.008362,-87.665909
221,30020,N,Morse (Howard-bound),Morse,Morse (Red Line),40100,False,True,False,False,False,False,False,False,False,False,"(42.008362, -87.665909)",3.0,21853,10.0,358.0,5.0,42.008362,-87.665909
222,30126,S,North/Clybourn (95th-bound),North/Clybourn,North/Clybourn (Red Line),40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",51.0,22620,37.0,108.0,11.0,41.910655,-87.649177
223,30125,N,North/Clybourn (Howard-bound),North/Clybourn,North/Clybourn (Red Line),40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",51.0,22620,37.0,108.0,11.0,41.910655,-87.649177
224,30079,S,Noyes (Howard-Loop-bound),Noyes,Noyes (Purple Line),40400,False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",,26293,,,,42.058282,-87.683337
225,30078,N,Noyes (Linden-bound),Noyes,Noyes (Purple Line),40400,False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",,26293,,,,42.058282,-87.683337
226,30035,W,Oak Park (Forest Pk-bound),Oak Park,Oak Park (Blue Line),40180,False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",,26618,,,,41.872108,-87.791602
227,30034,E,Oak Park (O'Hare-bound),Oak Park,Oak Park (Blue Line),40180,False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",,26618,,,,41.872108,-87.791602
228,30263,E,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),41350,False,False,False,True,False,False,False,False,False,False,"(41.886988, -87.793783)",,26611,,,,41.886988,-87.793783
229,30264,W,Oak Park (Harlem-bound),Oak Park,Oak Park (Green Line),41350,False,False,False,True,False,False,False,False,False,False,"(41.886988, -87.793783)",,26611,,,,41.886988,-87.793783
230,30297,N,Oakton-Skokie (Dempster-Skokie-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",,9460,,,,42.02624348,-87.74722084
231,30298,S,Oakton-Skokie (Howard-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",,9460,,,,42.02624348,-87.74722084
232,30172,S,O'Hare (Forest Pk-bound),O'Hare,O'Hare (Blue Line),40890,True,False,True,False,False,False,False,False,False,False,"(41.97766526, -87.90422307)",34.0,16197,75.0,668.0,29.0,41.97766526,-87.90422307
