,id,name,city,latitude,longitude,dpcapacity,online_date,date
149,81,Daley Center Plaza,Chicago,41.884240999999996,-87.629634,39,6/26/2013 19:02:13,2013-06-26 19:02:13
152,183,Damen Ave & Augusta Blvd,Chicago,41.899113,-87.677212,23,7/20/2013 17:09:09,2013-07-20 17:09:09
153,310,Damen Ave & Charleston St,Chicago,41.920082,-87.67785500000001,11,9/19/2013 17:59:20,2013-09-19 17:59:20
154,128,Damen Ave & Chicago Ave,Chicago,41.895769,-87.67721999999999,15,7/18/2013 17:55:53,2013-07-18 17:55:53
155,163,Damen Ave & Clybourn Ave,Chicago,41.931931,-87.677856,15,7/19/2013 10:02:35,2013-07-19 10:02:35
156,219,Damen Ave & Cortland St,Chicago,41.916027,-87.67741099999999,19,8/16/2013 11:54:27,2013-08-16 11:54:27
157,167,Damen Ave & Coulter St,Chicago ,41.8492,-87.67564,11,7/19/2013 10:08:02,2013-07-19 10:08:02
158,124,Damen Ave & Cullerton St,Chicago,41.855048,-87.675726,15,7/18/2013 17:24:21,2013-07-18 17:24:21
159,130,Damen Ave & Division St,Chicago ,41.90331,-87.67695,15,7/18/2013 17:57:12,2013-07-18 17:57:12
161,214,Damen Ave & Grand Ave,Chicago,41.891220000000004,-87.67685999999999,23,8/15/2013 11:46:58,2013-08-15 11:46:58
162,242,Damen Ave & Leland Ave,Chicago ,41.967094,-87.679028,15,8/21/2013 16:08:29,2013-08-21 16:08:29
163,215,Damen Ave & Madison St,Chicago,41.881370000000004,-87.67493,15,8/15/2013 14:08:55,2013-08-15 14:08:55
164,228,Damen Ave & Melrose Ave,Chicago,41.9406,-87.6785,11,8/19/2013 15:50:47,2013-08-19 15:50:47
166,69,Damen Ave & Pierce Ave,Chicago,41.9093960065,-87.6776919292,19,6/25/2013 12:53:32,2013-06-25 12:53:32
167,316,Damen Ave & Sunnyside Ave,Chicago,41.96325,-87.67925799999999,19,9/20/2013 14:22:52,2013-09-20 14:22:52
168,162,Damen Ave & Wellington Ave,Chicago,41.93588,-87.67841999999999,15,7/19/2013 10:02:00,2013-07-19 10:02:00
169,60,Dayton St & North Ave,Chicago,41.9105780349,-87.6494219288,19,6/25/2013 12:08:04,2013-06-25 12:08:04
170,140,Dearborn Pkwy & Delaware Pl,Chicago ,41.898969,-87.629912,19,7/18/2013 22:56:47,2013-07-18 22:56:47
171,37,Dearborn St & Adams St,Chicago,41.8793563587,-87.62979103629999,19,6/25/2013 01:12:23,2013-06-25 01:12:23
172,110,Dearborn St & Erie St,Chicago,41.893992,-87.62931800000001,23,7/18/2013 16:46:48,2013-07-18 16:46:48
173,49,Dearborn St & Monroe St,Chicago,41.881319815,-87.6295209193,27,6/25/2013 11:21:41,2013-06-25 11:21:41
174,107,Desplaines St & Jackson Blvd,Chicago,41.878287,-87.643909,23,7/18/2013 16:39:18,2013-07-18 16:39:18
175,56,Desplaines St & Kinzie St,Chicago,41.888716036,-87.6444478533,27,6/25/2013 11:50:53,2013-06-25 11:50:53
176,96,Desplaines St & Randolph St,Chicago,41.88461618962,-87.6445705849,23,6/28/2013 10:47:08,2013-06-28 10:47:08
182,6,Dusable Harbor,Chicago,41.885041992320005,-87.6127945394,39,6/10/2013 11:18:52,2013-06-10 11:18:52
186,86,Eckhart Park,Chicago,41.89637337,-87.66098386,19,6/26/2013 19:32:25,2013-06-26 19:32:25
190,328,Ellis Ave & 58th St,Chicago,41.788746,-87.601334,19,9/25/2013 09:38:39,2013-09-25 09:38:39
193,315,Elston Ave & Wabansia Ave,Chicago,41.912919,-87.664169,23,9/20/2013 12:38:56,2013-09-20 12:38:56
194,207,Emerald Ave & 28th St,Chicago,41.843579999999996,-87.645368,15,8/14/2013 10:26:13,2013-08-14 10:26:13
195,339,Emerald Ave & 31st St,Chicago,41.838198,-87.645143,11,9/27/2013 12:26:08,2013-09-27 12:26:08
198,24,Fairbanks Ct & Grand Ave,Chicago,41.89186,-87.62062,15,6/22/2013 20:23:31,2013-06-22 20:23:31
200,41,Federal St & Polk St,Chicago,41.87207763285,-87.6295437729,19,6/25/2013 01:44:18,2013-06-25 01:44:18
201,7,Field Blvd & South Water St,Chicago,41.88634906269,-87.6175165471,19,6/19/2013 10:00:21,2013-06-19 10:00:21
202,97,Field Museum,Chicago,41.865312,-87.617867,51,6/30/2013 13:25:23,2013-06-30 13:25:23
203,89,Financial Pl & Congress Pkwy,Chicago,41.87500913494,-87.63310581889999,31,6/26/2013 19:47:26,2013-06-26 19:47:26
204,150,Fort Dearborn Dr & 31st St,Chicago ,41.838556,-87.60821800000001,15,7/19/2013 09:23:53,2013-07-19 09:23:53
206,31,Franklin St & Chicago Ave,Chicago,41.896776,-87.635633,23,6/22/2013 20:58:44,2013-06-22 20:58:44
207,36,Franklin St & Jackson Blvd,Chicago,41.8777079559,-87.6353211408,31,6/24/2013 23:34:38,2013-06-24 23:34:38
208,164,Franklin St & Lake St,Chicago,41.885837,-87.6355,23,7/19/2013 10:03:02,2013-07-19 10:03:02
209,287,Franklin St & Monroe St,Chicago,41.880317,-87.63518499999999,27,9/12/2013 14:19:49,2013-09-12 14:19:49
210,286,Franklin St & Quincy St,Chicago,41.878724,-87.634793,23,9/12/2013 12:08:05,2013-09-12 12:08:05
213,198,Green St & Madison St,Chicago,41.881892,-87.64878900000001,19,8/8/2013 11:47:40,2013-08-08 11:47:40
214,112,Green St & Randolph St,Chicago ,41.883668,-87.64867,15,7/18/2013 17:00:04,2013-07-18 17:00:04
215,319,Greenview Ave & Diversey Pkwy,Chicago,41.932595,-87.665939,15,9/20/2013 15:20:20,2013-09-20 15:20:20
216,188,Greenview Ave & Fullerton Ave,Chicago,41.925329999999995,-87.6658,15,7/28/2013 14:35:43,2013-07-28 14:35:43
218,252,Greenwood Ave & 47th St,Chicago,41.809835,-87.59938299999999,15,8/26/2013 14:33:32,2013-08-26 14:33:32
220,202,Halsted St & 18th St,Chicago,41.857499,-87.646277,15,8/12/2013 17:23:13,2013-08-12 17:23:13
221,135,Halsted St & 21st St,Chicago,41.85378,-87.64665,11,7/18/2013 22:49:58,2013-07-18 22:49:58
222,279,Halsted St & 35th St (*),Chicago,41.830661,-87.647172,16,9/11/2013 09:17:44,2013-09-11 09:17:44
223,262,Halsted St & 37th St,Chicago,41.827059000000006,-87.64572,11,9/3/2013 13:18:23,2013-09-03 13:18:23
230,206,Halsted St & Archer Ave,Chicago,41.847203,-87.646795,15,8/14/2013 08:53:24,2013-08-14 08:53:24
231,331,Halsted St & Blackhawk St (*),Chicago,41.908537,-87.648627,20,9/25/2013 13:55:21,2013-09-25 13:55:21
232,225,Halsted St & Dickens Ave,Chicago,41.919936,-87.64883,15,8/19/2013 09:23:46,2013-08-19 09:23:46
233,332,Halsted St & Diversey Pkwy,Chicago,41.933665999999995,-87.64895899999999,19,9/25/2013 15:35:07,2013-09-25 15:35:07
